No.     C1      C2      C3      C4      C5      C6
No0		57		63		73		88		63		98
No1		88		98		76		67		58		74
No2		50		65		86		100		72		59
No3		95		84		62		88		70		85
No4		90		66		87		99		65		59
No5		94		93		88		71		92		92
No6		72		99		76		56		62		89
No7		68		68		93		75		62		63
No8		86		55		71		72		90		84
No9		81		61		60		78		71		86
No10		54		55		79		99		57		96
No11		56		100		66		68		61		67
No12		94		63		74		73		62		81
No13		73		66		57		80		72		68
No14		54		98		96		99		75		54
No15		58		100		79		63		68		93
No16		86		94		51		93		75		70
No17		68		50		100		62		57		57
No18		59		84		64		75		79		68
No19		93		69		95		93		68		50
No20		68		98		52		94		90		61
No21		62		62		68		54		66		83
No22		90		82		62		73		75		96
No23		76		96		83		89		67		51
No24		100		94		54		62		63		85
No25		57		55		100		94		67		53
No26		88		94		52		95		73		89
No27		82		79		51		83		61		95
No28		67		82		56		66		54		74
No29		60		53		98		71		84		64
No30		97		62		71		71		93		54
No31		88		72		90		68		84		72
No32		57		87		81		53		77		64
No33		58		85		75		62		75		51
No34		55		68		71		82		61		94
No35		57		64		92		96		58		83
No36		63		55		56		66		81		88
No37		96		69		52		64		56		88
No38		96		75		95		100		51		62
No39		85		76		51		65		95		51
No40		65		93		64		66		60		72
No41		52		63		59		96		89		76
No42		64		63		77		55		50		89
No43		74		83		76		89		60		83
No44		85		62		91		81		71		90
No45		61		89		72		82		80		61
No46		95		60		86		86		72		67
No47		69		50		98		67		62		94
No48		93		61		95		55		62		83
No49		96		84		95		76		62		98
